VOLUME,CASES,SIZE,SCANNER,BITS,RESOLUTION,THUMBNAILS,NOTES,AVAILABILITY
normal_01,111,5.8 GB,DBA,16,42 microns,thumbnails,notes,ftp
normal_02,117,6.6 GB,DBA,16,42 microns,thumbnails,notes,ftp
normal_03,38,4.1 GB,DBA,16,42 microns,thumbnails,notes,ftp
normal_04,57,5.1 GB,DBA,16,42 microns,thumbnails,notes,ftp
normal_05,47,4.3 GB,DBA,16,42 microns,thumbnails,notes,ftp
normal_06,60,5.5 GB,DBA,16,42 microns,thumbnails,notes,ftp
normal_07,78,6.2 GB,HOWTEK,12,43.5 microns,thumbnails,notes,ftp
normal_08,27,2.8 GB,HOWTEK,12,43.5 microns,thumbnails,notes,ftp
normal_09,59,4.9 GB,LUMYSIS,12,50 microns,thumbnails,notes,ftp
normal_10,23,2.1 GB,LUMYSIS,12,50 microns,thumbnails,notes,ftp
normal_11,58,6.1 GB,HOWTEK,12,43.5 microns,thumbnails,notes,ftp
normal_12,20,2.2 GB,HOWTEK,12,43.5 microns,thumbnails,notes,ftp
cancer_01,69,3.9 GB,LUMISYS,12,50 microns,thumbnails,notes,ftp
cancer_02,88,5.7 GB,LUMISYS,12,50 microns,thumbnails,notes,ftp
cancer_03,66,6.0 GB,DBA,16,42 microns,thumbnails,notes,ftp
cancer_04,31,2.8 GB,DBA,16,42 microns,thumbnails,notes,ftp
cancer_05,83,6.6 GB,LUMISYS,12,50 microns,thumbnails,notes,ftp
cancer_06,56,6.3 GB,HOWTEK,12,43.5 microns,thumbnails,notes,ftp
cancer_07,52,6.1 GB,HOWTEK,12,43.5 microns,thumbnails,notes,ftp
cancer_08,55,6.0 GB,HOWTEK,12,43.5 microns,thumbnails,notes,ftp
cancer_09,81,6.5 GB,LUMISYS,12,50 microns,thumbnails,notes,ftp
cancer_10,59,6.6 GB,HOWTEK,12,43.5 microns,thumbnails,notes,ftp
cancer_11,59,5.9 GB,HOWTEK,12,43.5 microns,thumbnails,notes,ftp
cancer_12,80,6.8 GB,HOWTEK,12,43.5 microns,thumbnails,notes,ftp
cancer_13,21,2.0 GB,HOWTEK,12,43.5 microns,thumbnails,notes,ftp
cancer_14,42,4.6 GB,HOWTEK,12,43.5 microns,thumbnails,notes,ftp
cancer_15,72,6.0 GB,LUMISYS,12,50 microns,thumbnails,notes,ftp
benign_01,80,6.5 GB,LUMISYS,12,50 microns,thumbnails,notes,ftp
benign_02,69,6.9 GB,HOWTEK,12,43.5 microns,thumbnails,notes,ftp
benign_03,64,6.7 GB,HOWTEK,12,43.5 microns,thumbnails,notes,ftp
benign_04,81,6.5 GB,LUMISYS,12,50 microns,thumbnails,notes,ftp
benign_05,62,6.5 GB,HOWTEK,12,43.5 microns,thumbnails,notes,ftp
benign_06,74,6.1 GB,LUMISYS,12,50 microns,thumbnails,notes,ftp
benign_07,61,6.1 GB,HOWTEK,12,43.5 microns,thumbnails,notes,ftp
benign_08,64,6.5 GB,HOWTEK,12,43.5 microns,thumbnails,notes,ftp
benign_09,75,6.1 GB,HOWTEK,12,43.5 microns,thumbnails,notes,ftp
benign_10,21,2.1 GB,HOWTEK,12,43.5 microns,thumbnails,notes,ftp
benign_11,62,6.5 GB,HOWTEK,12,43.5 microns,thumbnails,notes,ftp
benign_12,64,6.4 GB,HOWTEK,12,43.5 microns,thumbnails,notes,ftp
benign_13,72,6.1 GB,LUMISYS,12,50 microns,thumbnails,notes,ftp
benign_14,21,2.1 GB,LUMISYS,12,50 microns,thumbnails,notes,ftp
bwc_01,75,6.4 GB,LUMISYS,12,50 microns,thumbnails,notes,ftp
bwc_02,66,5.9 GB,LUMISYS,12,50 microns,thumbnails,notes,ftp
